Andrev2015,pc3,muscle,human,vleng,channel_name
-0.03,-0.069,0.012,-0.245,0.005,filter_451
-0.001,-0.004,-0.026,-0.005,-0.083,filter_452
0.044,0.077,-0.08,0.123,0.004,filter_453
-0.03,-0.058,-0.18,-0.223,-0.121,filter_454
-0.012,0.033,0.007,0.042,0.038,filter_455
-0.022,-0.053,0.036,-0.143,-0.097,filter_456
-0.034,-0.026,-0.001,-0.181,-0.141,filter_457
-0.077,-0.091,-0.107,-0.099,-0.146,filter_458
-0.04,-0.093,-0.04,-0.218,-0.106,filter_459
-0.007,-0.033,0.013,-0.091,0.054,filter_460
-0.015,-0.001,-0.125,-0.169,-0.235,filter_461
-0.023,0.013,-0.078,-0.035,-0.103,filter_462
0.019,0.037,-0.083,0.131,0.006,filter_463
0.017,-0.001,-0.149,0.031,-0.003,filter_464
0.012,0.048,-0.143,0.079,-0.022,filter_465
0.01,-0.011,0.077,-0.087,0.031,filter_466
0.032,0.052,-0.111,0.191,-0.054,filter_467
0.035,0.026,-0.085,0.112,0.004,filter_468
0.021,0.015,-0.051,-0.071,0.015,filter_469
-0.012,0.014,0.006,-0.003,-0.003,filter_470
-0.036,0.008,-0.143,0.058,-0.137,filter_471
-0.027,-0.073,0.015,-0.269,0.006,filter_472
-0.026,-0.045,-0.022,-0.099,-0.026,filter_473
0.035,0.03,0.096,0.004,-0.028,filter_474
-0.026,-0.019,-0.078,-0.216,-0.198,filter_475
0.049,0.049,-0.002,-0.019,0.072,filter_476
-0.0,-0.065,-0.036,-0.244,-0.028,filter_477
0.021,0.068,-0.021,0.129,0.017,filter_478
-0.02,0.005,-0.044,-0.07,-0.066,filter_479
0.039,0.087,-0.053,0.114,0.037,filter_480
-0.009,0.018,-0.048,0.095,0.051,filter_481
-0.032,-0.054,0.042,-0.163,-0.008,filter_482
-0.027,-0.006,-0.161,-0.003,-0.126,filter_483
-0.036,0.014,-0.147,0.127,-0.035,filter_484
-0.005,-0.036,0.034,-0.176,0.037,filter_485
0.003,-0.004,-0.169,0.117,0.02,filter_486
-0.016,-0.006,-0.071,-0.021,-0.014,filter_487
0.007,-0.011,-0.134,-0.065,-0.057,filter_488
-0.022,-0.048,-0.047,-0.122,-0.094,filter_489
-0.015,0.009,-0.039,-0.062,0.003,filter_490
-0.021,-0.076,-0.03,-0.297,-0.149,filter_491
-0.023,-0.101,-0.044,-0.296,-0.057,filter_492
-0.027,-0.064,-0.108,-0.103,-0.098,filter_493
0.001,0.054,0.054,0.066,-0.039,filter_494
-0.064,-0.115,-0.048,-0.262,0.009,filter_495
0.028,0.031,-0.127,0.007,-0.001,filter_496
0.016,0.004,0.002,-0.064,0.024,filter_497
0.006,0.013,-0.007,-0.071,-0.021,filter_498
